epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,923.005,0.90959,0.62788,0.90577,0.86322,0.83581,0.92311,0.71952,0.79391,0.64571,0.91413,0.00149263,0.00149263,0.00149263
43,946.674,0.8517,0.59936,0.89155,0.87477,0.84467,0.93208,0.72728,0.79919,0.63722,0.91249,0.00148025,0.00148025,0.00148025
44,970.135,0.86869,0.60517,0.89209,0.88121,0.82583,0.91894,0.68635,0.86532,0.6919,0.91204,0.00146787,0.00146787,0.00146787
45,993.613,0.89817,0.61817,0.90101,0.83234,0.8618,0.91733,0.72569,0.75853,0.61858,0.89871,0.0014555,0.0014555,0.0014555
46,1017.21,0.87487,0.59949,0.90049,0.91203,0.8215,0.933,0.73617,0.76753,0.58837,0.90295,0.00144312,0.00144312,0.00144312
47,1040.71,0.83999,0.58162,0.89549,0.90403,0.83173,0.92938,0.7326,0.77014,0.61861,0.919,0.00143075,0.00143075,0.00143075
48,1064.11,0.87743,0.613,0.89527,0.91077,0.80327,0.92265,0.71272,0.78866,0.62084,0.91722,0.00141838,0.00141838,0.00141838
49,1087.57,0.85587,0.58814,0.89709,0.8485,0.85413,0.92456,0.72222,0.78077,0.61809,0.91519,0.001406,0.001406,0.001406
50,1111.06,0.86632,0.58964,0.89764,0.8913,0.80998,0.91768,0.71219,0.78455,0.62603,0.90283,0.00139362,0.00139362,0.00139362
51,1134.53,0.84909,0.58706,0.89192,0.87458,0.85605,0.91605,0.72101,0.78191,0.61828,0.90856,0.00138125,0.00138125,0.00138125
52,1157.92,0.8588,0.58689,0.89483,0.82537,0.88905,0.92698,0.71097,0.81901,0.65418,0.94037,0.00136888,0.00136888,0.00136888
53,1181.12,0.83339,0.56943,0.88458,0.89809,0.81194,0.91865,0.72148,0.77959,0.60556,0.9198,0.0013565,0.0013565,0.0013565
54,1204.64,0.85165,0.57181,0.88781,0.87341,0.85605,0.93512,0.73025,0.81704,0.5927,0.91074,0.00134413,0.00134413,0.00134413
55,1227.88,0.8224,0.56064,0.87946,0.88072,0.86449,0.92745,0.72722,0.76517,0.57808,0.91292,0.00133175,0.00133175,0.00133175
56,1251.19,0.83839,0.55526,0.88891,0.87534,0.83877,0.92815,0.7377,0.74591,0.60045,0.907,0.00131938,0.00131938,0.00131938
57,1274.52,0.8284,0.55375,0.88488,0.84003,0.85669,0.91623,0.7081,0.80255,0.66033,0.91043,0.001307,0.001307,0.001307
58,1298.12,0.83758,0.55517,0.88604,0.89147,0.81986,0.91535,0.72829,0.767,0.59094,0.90891,0.00129463,0.00129463,0.00129463
59,1321.48,0.80585,0.5458,0.87765,0.87228,0.85209,0.91995,0.72614,0.78783,0.59778,0.9153,0.00128225,0.00128225,0.00128225
60,1345.15,0.83914,0.56729,0.88816,0.85182,0.89443,0.92975,0.73683,0.76686,0.59075,0.90475,0.00126987,0.00126987,0.00126987
61,1368.27,0.80526,0.52987,0.87871,0.89509,0.83877,0.93045,0.74958,0.72835,0.57814,0.89635,0.0012575,0.0012575,0.0012575
62,1391.9,0.78407,0.52439,0.87486,0.84117,0.8618,0.91388,0.73271,0.72626,0.62287,0.89022,0.00124513,0.00124513,0.00124513
63,1415.28,0.81964,0.54896,0.88507,0.91314,0.82342,0.92694,0.75183,0.71646,0.60065,0.89036,0.00123275,0.00123275,0.00123275
